"","X","ID","Timepoint","Age_days","Age_weeks","Intervention","Diet","Treatment","Genotype","TreatmentGroup","Cage","Sex","resampled_log_full_det","resampled_log_nlin_det","dependentvariable"
"1",1,"10_001",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1110_001_20180705_131017_131073_mri_lsq6/mch_rca_1110_001_20180705_131017_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1110_001_20180705_131017_131073_mri_lsq6/mch_rca_1110_001_20180705_131017_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.937924095333525
"2",2,"10_001",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1210_001_20180905_114432_131073_mri_lsq6/mch_rca_1210_001_20180905_114432_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1210_001_20180905_114432_131073_mri_lsq6/mch_rca_1210_001_20180905_114432_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.898570764262869
"3",3,"10_001",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1310_001_20181106_121119_131073_mri_lsq6/mch_rca_1310_001_20181106_121119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_001_processed/mch_rca_1310_001_20181106_121119_131073_mri_lsq6/mch_rca_1310_001_20181106_121119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.12762203668126
"4",4,"10_002",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1110_002_20180705_133010_131073_mri_lsq6/mch_rca_1110_002_20180705_133010_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1110_002_20180705_133010_131073_mri_lsq6/mch_rca_1110_002_20180705_133010_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.940731407475802
"5",5,"10_002",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1210_002_20180905_120050_131073_mri_lsq6/mch_rca_1210_002_20180905_120050_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1210_002_20180905_120050_131073_mri_lsq6/mch_rca_1210_002_20180905_120050_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.09951215642645
"6",6,"10_002",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",106,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1310_002_20181106_124119_131073_mri_lsq6/mch_rca_1310_002_20181106_124119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_002_processed/mch_rca_1310_002_20181106_124119_131073_mri_lsq6/mch_rca_1310_002_20181106_124119_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.02123204088232
"7",7,"10_004",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2110_004_20180705_140345_131073_mri_lsq6/mch_rca_2110_004_20180705_140345_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2110_004_20180705_140345_131073_mri_lsq6/mch_rca_2110_004_20180705_140345_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.809830167665849
"8",8,"10_004",2,121,17.2857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2210_004_20180905_122322_131073_mri_lsq6/mch_rca_2210_004_20180905_122322_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2210_004_20180905_122322_131073_mri_lsq6/mch_rca_2210_004_20180905_122322_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.960358025468631
"9",9,"10_004",3,183,26.1428571428571,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2310_004_20181106_130314_131073_mri_lsq6/mch_rca_2310_004_20181106_130314_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_004_processed/mch_rca_2310_004_20181106_130314_131073_mri_lsq6/mch_rca_2310_004_20181106_130314_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.30312249113368
"10",10,"10_005",1,59,8.42857142857143,"Control","Control","Control","WT","Ctrl_LFD_WT",107,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2110_005_20180705_142909_131073_mri_lsq6/mch_rca_2110_005_20180705_142909_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/10_005_processed/mch_rca_2110_005_20180705_142909_131073_mri_lsq6/mch_rca_2110_005_20180705_142909_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.835453207646774
